dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,protocol_uid,compression_family,compression_profile,search_mode,origin_score_space,compressed_score_space,score_spaces_comparable,frozen_origin_threshold_applicable,latency_measurement_repeats,latency_timer,compressed_index_build_latency_ms,compressed_gallery_add_latency_ms,compressed_gallery_encode_latency_ms,origin_search_latency_ms_total,compressed_search_latency_ms_total,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,gallery_template_count,origin_storage_bytes_per_embedding,origin_gallery_storage_bytes,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,threshold_policy,threshold_source_split,evaluation_split,top_k,query_count,mated_count,non_mated_count,decision_threshold,origin_decision_threshold,compressed_decision_threshold,origin_rank1_correct_count,origin_rank1_rate,compressed_rank1_correct_count,compressed_rank1_rate,origin_top_k_correct_count,origin_top_k_rate,compressed_top_k_correct_count,compressed_top_k_rate,origin_accepted_count,compressed_accepted_count,origin_dir_rank1_count,origin_dir_rank1,compressed_dir_rank1_count,compressed_dir_rank1,origin_false_accept_count,origin_fpir,compressed_false_accept_count,compressed_fpir,agreement_with_origin_count,agreement_with_origin_rate,mean_top_k_identity_jaccard,mean_top1_score_drift,mean_abs_top1_score_drift,threshold_crossing_count,threshold_crossing_rate,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate,origin_decision_correct_count,origin_decision_correct_rate,compressed_decision_correct_count,compressed_decision_correct_rate,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pca,pca_32,pca_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,28.4184999764,10.8936000033,0.00503401109211,198648.747828,50,2048,102400,6400,128,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,463,0.97268907563,471,0.989495798319,467,0.981092436975,464,1377,463,0.97268907563,463,0.97268907563,1,0.000592417061611,904,0.535545023697,785,0.362754158965,0.485282362216,0.203171096711,0.207789277396,913,0.421903881701,0,0,913,0.421903881701,2150,0.993530499076,1247,0.576247689464,0,128,0,not_applicable
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pca,pca_32,pca_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,28.4184999764,10.8936000033,0.00503401109211,198648.747828,50,2048,102400,6400,128,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.432901352644,0.607000112534,464,0.974789915966,463,0.97268907563,471,0.989495798319,467,0.981092436975,464,494,463,0.97268907563,456,0.957983193277,1,0.000592417061611,37,0.0219194312796,785,0.362754158965,0.485282362216,0.203171096711,0.207789277396,44,0.0203327171904,7,0.00323475046211,37,0.0170979667283,2150,0.993530499076,2107,0.973659889094,0,128,0,not_applicable
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pca,pca_384,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,41.730500001,19.2776999902,0.00890836413595,112254.055261,50,2048,102400,76800,1536,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,464,0.974789915966,471,0.989495798319,471,0.989495798319,464,464,463,0.97268907563,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,1930,0.891866913124,0.881221556445,-0.0131365000141,0.0147490998981,0,0,0,0,0,0,2150,0.993530499076,2150,0.993530499076,0,1536,0,not_applicable
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pca,pca_384,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,41.730500001,19.2776999902,0.00890836413595,112254.055261,50,2048,102400,76800,1536,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.432901352644,0.40746486187,464,0.974789915966,464,0.974789915966,471,0.989495798319,471,0.989495798319,464,464,463,0.97268907563,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,1930,0.891866913124,0.881221556445,-0.0131365000141,0.0147490998981,0,0,0,0,0,0,2150,0.993530499076,2150,0.993530499076,0,1536,0,not_applicable
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pca,pca_384,pca_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,46.3386000192,27.8048999899,0.0128488447273,77828.0087607,50,2048,102400,76800,1536,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,464,0.974789915966,471,0.989495798319,471,0.989495798319,464,464,463,0.97268907563,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,2164,1,1,2.56243507875e-06,2.64083143744e-06,0,0,0,0,0,0,2150,0.993530499076,2150,0.993530499076,0,1536,0,not_applicable
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pca,pca_384,pca_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,46.3386000192,27.8048999899,0.0128488447273,77828.0087607,50,2048,102400,76800,1536,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.432901352644,0.432904601097,464,0.974789915966,464,0.974789915966,471,0.989495798319,471,0.989495798319,464,464,463,0.97268907563,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,2164,1,1,2.56243507875e-06,2.64083143744e-06,0,0,0,0,0,0,2150,0.993530499076,2150,0.993530499076,0,1536,0,not_applicable
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pca,pca_64,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,9.78200000827,10.0421999814,0.00464057300434,215490.629942,50,2048,102400,12800,256,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,463,0.97268907563,471,0.989495798319,469,0.985294117647,464,488,463,0.97268907563,463,0.97268907563,1,0.000592417061611,25,0.0148104265403,1038,0.47966728281,0.582906959478,0.0784113458194,0.0838236325212,24,0.0110905730129,0,0,24,0.0110905730129,2150,0.993530499076,2126,0.982439926063,0,256,0,not_applicable
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pca,pca_64,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,9.78200000827,10.0421999814,0.00464057300434,215490.629942,50,2048,102400,12800,256,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.432901352644,0.510724425316,464,0.974789915966,463,0.97268907563,471,0.989495798319,469,0.985294117647,464,465,463,0.97268907563,462,0.970588235294,1,0.000592417061611,3,0.00177725118483,1038,0.47966728281,0.582906959478,0.0784113458194,0.0838236325212,3,0.00138632162662,1,0.000462107208872,2,0.000924214417745,2150,0.993530499076,2147,0.992144177449,0,256,0,not_applicable
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pca,pca_64,pca_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,11.4502999932,13.1386999856,0.00607148797855,164704.270771,50,2048,102400,12800,256,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,463,0.97268907563,471,0.989495798319,469,0.985294117647,464,517,463,0.97268907563,463,0.97268907563,1,0.000592417061611,54,0.031990521327,1046,0.483364140481,0.589132853513,0.103100666852,0.105925110122,53,0.0244916820702,0,0,53,0.0244916820702,2150,0.993530499076,2097,0.969038817006,0,256,0,not_applicable
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pca,pca_64,pca_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,11.4502999932,13.1386999856,0.00607148797855,164704.270771,50,2048,102400,12800,256,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.432901352644,0.515796005726,464,0.974789915966,463,0.97268907563,471,0.989495798319,469,0.985294117647,464,467,463,0.97268907563,463,0.97268907563,1,0.000592417061611,4,0.00236966824645,1046,0.483364140481,0.589132853513,0.103100666852,0.105925110122,3,0.00138632162662,0,0,3,0.00138632162662,2150,0.993530499076,2147,0.992144177449,0,256,0,not_applicable
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pq,pq_512_m128_b8,pq_adc_exhaustive,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.0816000101622,0.0249999866355,2.09990001167,93.925299996,110.2923,0.0509668669131,19620.590014,50,2048,102400,530688,10613.76,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.432901352644,-1.09545385838,464,0.974789915966,464,0.974789915966,471,0.989495798319,469,0.985294117647,464,464,463,0.97268907563,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,1773,0.819316081331,0.818798968719,,,0,0,0,0,0,0,2150,0.993530499076,2150,0.993530499076,0,128,524288,faiss_centroids
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pq,pq_512_m128_b8,pq_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,93.925299996,13.761899987,0.00635947319178,157245.729299,50,2048,102400,530688,10613.76,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,464,0.974789915966,471,0.989495798319,471,0.989495798319,464,464,463,0.97268907563,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,1677,0.774953789279,0.804723811643,-0.0229768499787,0.0280551081127,0,0,0,0,0,0,2150,0.993530499076,2150,0.993530499076,0,128,524288,faiss_centroids
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pq,pq_512_m128_b8,pq_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,93.925299996,13.761899987,0.00635947319178,157245.729299,50,2048,102400,530688,10613.76,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.432901352644,0.400651991367,464,0.974789915966,464,0.974789915966,471,0.989495798319,471,0.989495798319,464,464,463,0.97268907563,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,1677,0.774953789279,0.804723811643,-0.0229768499787,0.0280551081127,0,0,0,0,0,0,2150,0.993530499076,2150,0.993530499076,0,128,524288,faiss_centroids
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pq,pq_512_m16_b8,pq_adc_exhaustive,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.20070001483,0.0202999799512,1.03949999902,13.7830000021,28.8313999772,0.0133231977714,75057.0559082,50,2048,102400,525088,10501.76,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.432901352644,-1.04440784454,464,0.974789915966,464,0.974789915966,471,0.989495798319,471,0.989495798319,464,464,463,0.97268907563,461,0.968487394958,1,0.000592417061611,3,0.00177725118483,908,0.419593345656,0.512036636414,,,4,0.00184842883549,2,0.000924214417745,2,0.000924214417745,2150,0.993530499076,2146,0.99168207024,0,16,524288,faiss_centroids
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pq,pq_512_m16_b8,pq_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,13.7830000021,18.3139999863,0.00846303141695,118160.969838,50,2048,102400,525088,10501.76,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,460,0.966386554622,471,0.989495798319,470,0.987394957983,464,197,463,0.97268907563,197,0.413865546218,1,0.000592417061611,0,0,677,0.312846580407,0.404215369309,-0.0910692149067,0.111305072986,267,0.123382624769,267,0.123382624769,0,0,2150,0.993530499076,1885,0.871072088725,0,16,524288,faiss_centroids
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pq,pq_512_m16_b8,pq_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,13.7830000021,18.3139999863,0.00846303141695,118160.969838,50,2048,102400,525088,10501.76,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.432901352644,0.256405174732,464,0.974789915966,460,0.966386554622,471,0.989495798319,470,0.987394957983,464,476,463,0.97268907563,437,0.918067226891,1,0.000592417061611,39,0.0231042654028,677,0.312846580407,0.404215369309,-0.0910692149067,0.111305072986,64,0.0295748613678,26,0.0120147874307,38,0.0175600739372,2150,0.993530499076,2086,0.963955637708,0,16,524288,faiss_centroids
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pq,pq_512_m32_b8,pq_adc_exhaustive,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.0905999913812,0.0199000060093,2.08420000854,13.8774999941,39.8199000047,0.0184010628487,54344.6869466,50,2048,102400,525888,10517.76,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.432901352644,-1.11926555634,464,0.974789915966,463,0.97268907563,471,0.989495798319,472,0.991596638655,464,466,463,0.97268907563,463,0.97268907563,1,0.000592417061611,3,0.00177725118483,1176,0.543438077634,0.599727381676,,,2,0.000924214417745,0,0,2,0.000924214417745,2150,0.993530499076,2148,0.992606284658,0,32,524288,faiss_centroids
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pq,pq_512_m32_b8,pq_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,13.8774999941,13.9025999815,0.00642449167353,155654.338244,50,2048,102400,525888,10517.76,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,463,0.97268907563,471,0.989495798319,471,0.989495798319,464,339,463,0.97268907563,338,0.710084033613,1,0.000592417061611,1,0.000592417061611,895,0.413585951941,0.497133481046,-0.0924736120516,0.100053413707,125,0.0577634011091,125,0.0577634011091,0,0,2150,0.993530499076,2025,0.935767097967,0,32,524288,faiss_centroids
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pq,pq_512_m32_b8,pq_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,13.8774999941,13.9025999815,0.00642449167353,155654.338244,50,2048,102400,525888,10517.76,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.432901352644,0.258236944675,464,0.974789915966,463,0.97268907563,471,0.989495798319,471,0.989495798319,464,468,463,0.97268907563,462,0.970588235294,1,0.000592417061611,5,0.00296208530806,895,0.413585951941,0.497133481046,-0.0924736120516,0.100053413707,6,0.00277264325323,1,0.000462107208872,5,0.00231053604436,2150,0.993530499076,2145,0.991219963031,0,32,524288,faiss_centroids
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pq,pq_512_m64_b8,pq_adc_exhaustive,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.154099980136,0.0170000130311,1.18699998711,21.9800000195,54.9270999909,0.0253822088682,39397.6743786,50,2048,102400,527488,10549.76,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.432901352644,-1.1460044384,464,0.974789915966,463,0.97268907563,471,0.989495798319,471,0.989495798319,464,465,463,0.97268907563,463,0.97268907563,1,0.000592417061611,2,0.00118483412322,1419,0.65573012939,0.699457230302,,,1,0.000462107208872,0,0,1,0.000462107208872,2150,0.993530499076,2149,0.993068391867,0,64,524288,faiss_centroids
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,lfw-identity-disjoint-open-set-v1,pq,pq_512_m64_b8,pq_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,21.9800000195,25.7502000022,0.0118993530509,84038.1822205,50,2048,102400,527488,10549.76,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,462,0.970588235294,471,0.989495798319,472,0.991596638655,464,457,463,0.97268907563,456,0.957983193277,1,0.000592417061611,1,0.000592417061611,1209,0.558687615527,0.639379466584,-0.0660580302074,0.0710828290898,7,0.00323475046211,7,0.00323475046211,0,0,2150,0.993530499076,2143,0.990295748614,0,64,524288,faiss_centroids
