dataset_id,model_uid,compression_family,compression_profile,search_mode,protocol_uid,threshold_source_split,evaluation_split,target_fpir,is_mated,analysis_scope,threshold_metric_derivation_version,event_metric,analysis_tier,paired_query_count,identity_count,frozen_event_count,frozen_event_rate,recalibrated_event_count,recalibrated_event_rate,recalibrated_minus_frozen_rate,resolved_event_count,introduced_event_count,paired_bootstrap_confidence_level,paired_bootstrap_ci_low,paired_bootstrap_ci_high,paired_bootstrap_valid_repeats,bootstrap_unit,run_id,source_run_dir
lfw,arcface-7972a704552df378345f,pca,pca_128,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.3,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_at_rank_k_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_128,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.3,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_rank_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_128,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.3,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_threshold_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,False,threshold_policy_comparison,saliency-threshold-metrics-v2,false_accept_gain,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,False,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,True,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_at_rank_k_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_rank_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_threshold_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,False,threshold_policy_comparison,saliency-threshold-metrics-v2,false_accept_gain,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,False,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_at_rank_k_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_rank_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_threshold_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,False,threshold_policy_comparison,saliency-threshold-metrics-v2,false_accept_gain,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,False,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_at_rank_k_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_rank_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_threshold_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.2,False,threshold_policy_comparison,saliency-threshold-metrics-v2,false_accept_gain,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.2,False,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.2,True,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.2,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_at_rank_k_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.2,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_rank_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.2,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_threshold_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.3,False,threshold_policy_comparison,saliency-threshold-metrics-v2,false_accept_gain,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.3,False,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.3,True,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.3,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_at_rank_k_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.3,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_rank_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.3,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_threshold_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,False,threshold_policy_comparison,saliency-threshold-metrics-v2,false_accept_gain,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,False,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,True,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_at_rank_k_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_rank_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_threshold_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,False,threshold_policy_comparison,saliency-threshold-metrics-v2,false_accept_gain,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,False,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_at_rank_k_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_rank_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_threshold_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,False,threshold_policy_comparison,saliency-threshold-metrics-v2,false_accept_gain,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,False,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_at_rank_k_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_rank_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_comparison,saliency-threshold-metrics-v2,tpir_threshold_loss,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.2,False,threshold_policy_comparison,saliency-threshold-metrics-v2,false_accept_gain,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.2,False,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,855,264,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
lfw,arcface-7972a704552df378345f,pca,pca_256,pca_reconstruction_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.2,True,threshold_policy_comparison,saliency-threshold-metrics-v2,threshold_crossing,prespecified_supporting,476,50,0,0,0,0,0,0,0,0.95,0,0,500,identity_id,20260902-R001-6c8b08b1,C:\ronbun\runs\lfw_20260902\20260902-R001-6c8b08b1_step4_lfw_arcface-7972a704552df378345f
